ZIP,date,Number of returns,Paid Preparer Helped,Number of exemptions,Number of dependents,Number of Salaries in AGI,Number of farm returns,Net capital gain (less loss) in AGI,Unemployment compensation,Social Security benefits in AGI,Taxes paid,Total tax credits,Residential energy credit,Alternative minimum tax,Overpayments refunded,Additional Medicare tax
95372,2012,1170,800,2330,670,900,0,170,170,210,440,340,0,0,850,0
95374,2012,660,480,1760,800,550,70,40,110,60,130,210,0,0,560,0
95376,2012,21540,13590,50850,21740,18880,30,1730,3010,1840,7270,7350,200,270,17140,0
95377,2012,12110,7600,30990,13620,10780,20,1390,1620,880,5880,4810,120,410,9200,0
95379,2012,1620,1080,3300,1020,1320,20,240,210,240,530,500,0,0,1230,0
95380,2012,15050,9910,35980,15850,12970,310,1120,2160,1300,3130,4650,90,120,12120,0
95382,2012,14350,8910,31620,11770,12090,120,1770,1630,1620,5690,4970,110,320,10720,0
95383,2012,1950,1290,3650,860,1320,0,490,230,530,800,500,30,50,1260,0
95385,2012,110,70,270,110,100,0,0,30,0,30,40,0,0,90,0
95386,2012,3840,2530,9920,4570,3390,150,240,780,350,1020,1370,20,30,3160,0
95388,2012,4640,3190,12690,6400,4150,140,150,890,310,570,1520,0,0,4010,0
95389,2012,770,260,1060,150,750,0,60,140,40,80,140,0,0,680,0
95391,2012,4640,2540,12600,5540,4260,0,740,610,220,2630,2060,40,260,3460,0
95401,2012,16230,9170,32720,11730,13530,120,2090,1920,1760,4770,4860,190,240,12240,0
95403,2012,20000,11260,40250,13820,16390,50,3610,2180,2730,7160,6290,230,570,14450,0
95404,2012,18250,10470,35010,10770,14280,130,4700,1690,2830,7630,5730,300,1190,12060,0
95405,2012,11120,6010,20260,5530,8550,20,2780,1060,1940,4650,3400,150,480,7360,0
95407,2012,16580,10650,39660,18160,14610,50,1080,2130,950,3950,5310,90,90,13530,0
95409,2012,13300,7470,24370,6120,8590,50,4550,1060,3970,6250,4100,200,670,7850,0
95410,2012,420,270,700,140,230,0,110,30,90,120,80,0,0,220,0
95415,2012,670,480,1620,690,530,30,100,80,90,140,190,0,0,480,0
95420,2012,100,60,170,20,50,0,30,0,20,30,0,0,0,40,0
95421,2012,600,340,1030,230,410,0,130,70,110,200,150,0,0,360,0
95422,2012,4340,2190,9550,3980,3510,0,270,660,470,670,1010,30,0,3590,0
95423,2012,1260,650,2360,620,800,20,160,130,300,340,190,0,0,910,0
95425,2012,4910,3080,10830,3970,3900,60,870,610,860,1830,1480,60,100,3540,0
95427,2012,190,120,330,80,90,0,40,0,20,40,30,0,0,90,0
95428,2012,740,370,1540,600,520,50,60,80,80,100,170,0,0,530,0
95432,2012,160,120,290,60,90,0,40,0,30,50,20,0,0,80,0
95436,2012,2730,1520,4740,1150,2010,30,610,280,430,1120,690,40,80,1770,0
95437,2012,6060,4220,12290,4150,4530,30,1020,700,1020,1600,1510,60,80,4300,0
95439,2012,440,300,940,350,350,0,60,50,60,160,130,0,0,290,0
95441,2012,1150,850,2950,1340,960,50,180,140,140,310,400,0,40,820,0
95442,2012,1660,1040,3040,810,1160,30,500,140,340,730,470,0,120,970,0
95444,2012,720,450,1340,420,490,0,170,70,120,270,200,0,30,450,0
95445,2012,1360,890,2490,570,790,0,420,70,420,600,320,0,50,760,0
95446,2012,2280,1210,3690,860,1630,0,440,270,350,860,470,40,30,1540,0
95448,2012,8700,5870,17770,6020,6590,310,2340,770,1510,3230,2670,100,500,5470,0
95449,2012,680,470,1590,670,560,20,60,80,70,130,190,0,0,510,0
95450,2012,180,90,290,50,120,0,40,0,40,60,30,0,0,110,0
95451,2012,4280,2410,9040,2960,3230,130,650,690,830,1440,1070,40,60,3150,0
95452,2012,910,610,1620,370,620,30,300,70,220,450,280,0,80,520,0
95453,2012,4460,2580,8800,2670,3260,100,700,540,910,1510,1100,60,80,3190,0
95454,2012,910,580,1680,510,520,30,110,70,90,220,160,0,0,510,0
95456,2012,300,230,490,70,160,0,110,20,100,120,80,0,0,170,0
95457,2012,1470,780,3020,980,1100,40,180,240,260,470,350,0,0,1080,0
95458,2012,930,450,1830,560,680,0,80,160,180,210,170,0,0,710,0
95459,2012,190,120,390,140,130,0,30,0,50,60,40,0,0,120,0
95460,2012,1440,970,2420,490,860,0,480,100,350,580,360,0,50,740,0
95461,2012,1710,950,3360,1040,1330,30,260,220,240,540,390,0,30,1170,0
95462,2012,520,270,810,160,350,0,100,70,100,180,110,0,0,330,0
95464,2012,840,440,1680,590,640,0,50,120,140,170,170,0,0,670,0
95465,2012,1100,600,1800,360,680,30,340,80,200,420,270,0,40,600,0
95466,2012,590,410,1450,630,450,20,80,50,80,120,180,0,0,430,0
95467,2012,2100,1010,4470,1380,1590,0,330,310,410,1000,640,0,40,1450,0
95468,2012,630,380,1230,420,410,0,90,40,80,160,160,0,0,400,0
95469,2012,720,520,1630,570,530,70,130,70,110,200,170,0,0,500,0
95470,2012,2570,1680,5350,1720,2000,90,370,280,410,880,670,30,40,1810,0
95472,2012,12850,7540,22970,5700,8850,270,3890,1050,2550,5610,3760,270,600,7590,0
95476,2012,15340,9790,29120,8620,10920,190,4520,1160,3380,6670,4450,240,890,9420,0
95482,2012,12420,7660,25750,9240,9950,130,1660,1330,1750,3300,3510,150,240,9110,0
95485,2012,1020,540,2050,650,760,70,100,150,140,250,230,0,0,780,0
95490,2012,5260,3090,10460,3270,3900,90,600,590,740,1460,1290,60,30,3730,0
95492,2012,13090,7830,29080,11060,10910,80,2410,1460,1610,5850,4600,200,450,9320,0
95494,2012,100,70,180,40,70,0,30,0,40,40,20,0,0,40,0
95501,2012,8730,4600,16120,5070,7150,0,930,900,1060,1960,2290,80,70,6780,0
95503,2012,9380,5510,18110,5240,7220,50,1570,940,1630,3100,2730,100,140,6770,0
95519,2012,7150,3780,13890,4150,5570,50,1060,850,1040,2420,2330,70,100,5190,0
95521,2012,6990,3180,11040,2760,5700,50,1100,510,770,1470,1820,60,110,5130,0
95524,2012,970,640,1760,440,650,0,300,80,180,390,340,0,40,550,0
95525,2012,810,450,1460,350,600,0,140,90,120,210,240,0,0,560,0
95526,2012,180,110,350,100,120,0,0,30,20,30,20,0,0,120,0
95527,2012,150,110,220,30,90,0,0,20,30,30,0,0,0,80,0
95528,2012,360,240,760,210,250,0,60,70,70,120,90,0,0,240,0
95531,2012,7490,4000,15510,5210,5940,40,850,940,1090,2010,2100,130,70,5690,0
95536,2012,1290,870,2580,790,920,100,290,130,240,390,330,0,0,850,0
95540,2012,5360,3450,11110,3690,4100,70,860,610,900,1610,1540,50,70,3950,0
95542,2012,860,570,1510,380,460,30,150,40,110,240,210,0,0,420,0
95543,2012,310,160,560,110,200,0,60,20,70,110,80,0,0,210,0
95546,2012,850,500,2170,1110,790,0,0,200,70,50,310,0,0,730,0
95547,2012,560,380,1140,340,380,30,110,60,120,200,150,0,0,390,0
95548,2012,350,190,680,220,270,0,40,60,40,40,80,0,0,290,0
95549,2012,300,200,630,170,200,0,90,30,60,140,110,0,0,160,0
95551,2012,570,350,1230,430,470,30,90,70,90,170,180,0,0,430,0
95552,2012,150,90,240,50,80,0,0,20,20,30,30,0,0,80,0
95554,2012,160,110,270,80,70,0,20,0,20,40,0,0,0,80,0
95558,2012,150,90,270,80,80,0,20,0,20,20,40,0,0,80,0
95560,2012,1020,670,1790,470,450,30,170,40,80,270,230,20,0,450,0
95562,2012,1130,650,2470,870,900,0,100,180,150,280,300,0,0,880,0
95564,2012,160,80,280,80,130,0,0,20,0,0,40,0,0,130,0
95565,2012,420,230,940,380,370,0,0,90,40,30,130,0,0,350,0
95567,2012,850,520,1910,750,670,0,90,120,120,200,220,0,0,660,0
95570,2012,1120,660,2000,460,680,0,230,110,220,400,270,20,20,670,0
95573,2012,740,460,1400,370,470,30,100,90,130,220,160,0,0,500,0
95585,2012,130,90,220,60,70,0,0,0,0,0,0,0,0,70,0
95589,2012,450,280,790,190,190,0,70,30,70,150,90,0,0,190,0
95602,2012,7750,4650,15630,4490,5320,90,2140,700,2030,3630,2080,150,360,4940,0
95603,2012,12120,6820,22860,6420,8900,100,2690,1140,2390,5040,3320,180,430,8240,0
95605,2012,5220,3040,11920,5230,4440,0,240,700,380,1040,1450,30,50,4280,0
95606,2012,120,100,250,80,80,0,0,0,0,40,30,0,0,70,0
95607,2012,110,70,230,60,80,20,20,0,30,40,0,0,0,70,0
95608,2012,26860,14310,51080,15330,20070,60,5750,2500,5370,10340,7740,380,1060,18570,0
95610,2012,19940,10250,39400,13230,16290,20,2120,2380,2590,5940,5600,240,100,15380,0
95612,2012,630,460,1560,650,510,40,130,110,100,210,210,0,30,450,0
95614,2012,1820,1030,3640,920,1360,30,420,190,430,990,540,40,50,1200,0
95615,2012,410,290,1040,470,350,0,40,80,50,80,130,0,0,310,0
95616,2012,14970,6050,26000,6850,12090,80,4320,610,2280,5640,5040,220,1110,10070,0
95618,2012,10230,4530,21180,7100,8550,50,3050,560,1280,4850,3790,160,1130,6900,0
95619,2012,2510,1440,4860,1420,1850,0,370,320,500,860,630,30,20,1770,0
95620,2012,9240,5300,20720,8100,8000,130,930,1510,990,3310,3100,100,160,7100,0
95621,2012,19160,9330,36890,11640,15110,0,1930,2460,2980,5900,5410,260,80,14730,0
95623,2012,2170,1210,4290,1230,1660,40,420,260,450,960,630,40,50,1500,0
95624,2012,26230,14230,59410,22760,21890,80,3740,2810,3180,11810,9350,320,660,19380,0
95626,2012,2560,1390,5400,1820,2060,30,230,350,380,890,730,30,20,1970,0
95627,2012,1600,970,3740,1580,1380,60,130,290,180,480,540,0,20,1260,0
95628,2012,19890,10510,37850,10520,15030,40,4640,1880,4070,8840,5810,350,900,13290,0
95629,2012,390,230,740,140,250,20,60,50,110,170,60,0,0,250,0
95630,2012,29490,15010,63460,21440,24520,30,8370,2390,3820,16250,10200,560,2340,19840,0
95631,2012,2690,1460,5380,1400,2000,0,460,360,560,1230,710,40,40,1880,0
95632,2012,11930,6930,28500,11680,10170,200,1100,1970,1380,4370,4090,120,120,9370,0
95633,2012,1350,720,2670,710,960,20,210,170,300,590,330,0,0,920,0
95634,2012,1260,720,2490,640,830,20,240,170,310,540,300,30,0,830,0
95635,2012,480,250,950,250,360,0,70,60,90,200,110,0,0,350,0
95636,2012,370,180,770,210,240,0,50,30,90,160,80,0,0,260,0
95637,2012,160,90,320,100,120,30,20,0,40,50,30,0,0,110,0
95638,2012,950,620,2100,680,790,70,120,130,160,450,280,0,30,650,0
95640,2012,3350,1910,6940,2140,2600,60,410,440,660,1300,950,40,40,2460,0
95641,2012,780,480,1620,530,560,0,100,120,160,210,170,0,0,510,0
95642,2012,3360,1980,6390,1680,2400,60,680,390,800,1130,880,30,50,2250,0
95645,2012,680,470,1680,750,580,0,50,190,70,160,210,0,0,540,0
95648,2012,22180,12900,47510,14410,15120,270,5580,2230,6520,11660,7410,320,690,14760,0
95650,2012,5990,3490,12370,3840,4440,110,1540,560,1140,2920,1850,130,440,3810,0
95651,2012,370,230,680,170,290,0,80,50,70,170,90,0,0,230,0
95652,2012,210,80,380,150,170,0,0,0,0,40,50,0,0,160,0
95655,2012,1700,840,3840,1460,1510,0,190,230,120,910,670,0,0,1340,0
95658,2012,3080,1900,6040,1600,2180,130,840,290,740,1500,860,80,170,1950,0
95659,2012,320,240,660,210,250,40,50,40,60,100,90,0,0,220,0
95660,2012,12530,7030,28460,12430,10140,0,560,1640,1210,2260,3310,110,0,10400,0
95661,2012,14060,7680,28520,9230,11100,20,3270,1370,2320,6380,4440,260,760,9550,0
95662,2012,14990,7620,29480,8900,11850,40,2460,1780,2380,6300,4590,300,300,10890,0
95663,2012,1310,750,2660,780,950,50,350,150,240,650,420,30,70,870,0
95664,2012,620,360,1200,320,430,20,130,70,130,320,150,0,0,410,0
95665,2012,2060,1190,3930,920,1380,0,430,270,550,830,500,40,40,1370,0
95666,2012,2120,1140,3950,800,1300,0,430,270,660,830,440,0,0,1390,0
95667,2012,15970,8920,31160,8620,11570,240,3300,1690,3300,6760,4280,340,400,10810,0
95668,2012,360,240,740,210,280,60,40,50,60,120,110,0,0,210,0
95669,2012,1140,650,2240,620,850,100,200,150,230,420,300,0,30,760,0
95670,2012,23510,12310,47900,16880,19070,20,3330,2440,3300,7650,6670,280,510,17800,0
95672,2012,2070,1110,4390,1320,1580,30,530,190,430,1100,650,50,120,1360,0
95673,2012,6420,3480,14320,5590,5210,40,420,970,770,1940,1900,70,20,5070,0
95674,2012,370,250,810,280,310,70,50,40,60,130,120,0,0,270,0
95677,2012,11510,5890,23230,7390,9380,20,2190,1260,1700,4970,3650,240,450,8270,0
95678,2012,19480,9920,39660,13660,16390,0,2650,2260,2130,7230,6280,260,420,14560,0
95681,2012,520,320,1190,430,400,30,40,90,90,190,130,0,0,400,0
95682,2012,13690,7520,28010,8490,10520,100,3180,1400,2700,6540,4250,300,600,9190,0
95683,2012,3030,1870,6320,1650,2100,40,900,220,930,1890,890,50,230,1740,0
95684,2012,1150,590,2270,580,790,70,150,150,240,480,260,0,0,770,0
95685,2012,2130,1280,3980,960,1450,30,410,240,570,850,560,30,60,1400,0
95687,2012,26630,13430,53560,17660,22490,40,2990,2990,3620,10660,8630,420,450,20420,0
95688,2012,15940,9050,33940,11740,13200,120,2670,1610,2380,7100,5180,270,640,11660,0
95689,2012,600,330,1080,150,380,0,130,70,220,300,130,0,0,350,0
95690,2012,1090,750,2510,1020,900,30,140,190,160,260,300,0,40,810,0
95691,2012,15420,8160,33090,12140,13260,40,1700,1850,1540,6190,5020,200,280,11900,0
95692,2012,2030,1100,4540,1660,1730,70,190,290,270,730,690,0,30,1590,0
95693,2012,3120,1920,6660,2110,2340,160,670,300,620,1540,840,50,160,2080,0
95694,2012,4300,2550,9630,3730,3710,150,550,680,490,1430,1410,50,120,3230,0
95695,2012,15800,9490,33780,12510,13110,200,2160,2220,2260,4890,5300,260,390,12020,0
95703,2012,790,440,1490,370,550,0,170,80,170,350,210,0,20,510,0
95709,2012,2220,1330,4580,1370,1600,60,510,250,490,970,590,40,50,1490,0
95713,2012,3400,1960,6670,1890,2600,20,590,460,600,1470,930,50,70,2350,0
95722,2012,2310,1400,4510,1110,1630,0,670,200,570,1190,670,40,150,1420,0
95726,2012,3600,1970,7260,2000,2700,0,620,490,750,1520,1010,80,30,2600,0
95742,2012,4500,2220,10420,3790,4040,0,720,520,300,2530,1800,70,190,3350,0
95746,2012,10080,6150,21750,7270,7600,60,4200,620,1870,6080,3370,210,1760,5850,0
95747,2012,25110,13390,55170,18560,19560,40,6130,2390,4830,13950,9080,430,1230,17200,0
95757,2012,16370,8930,41020,17410,14240,50,2300,1850,1460,8340,6780,130,660,12200,0
95758,2012,26830,13610,58580,22120,22960,30,3560,2890,2830,12050,9670,340,590,20120,0
95762,2012,17510,9860,40180,14110,13990,50,6270,1380,2980,11110,6270,440,2610,10630,0
95765,2012,14550,7280,33470,12600,12260,0,3320,1340,1740,7840,5620,290,980,10210,0
95776,2012,10150,6130,24340,10430,8990,50,890,1790,770,3340,3830,140,160,8130,0
95811,2012,3520,1330,4740,850,3140,0,390,320,140,680,650,0,70,2710,0
95814,2012,3820,1570,5500,1230,3270,0,450,340,270,840,770,0,100,2900,0
95815,2012,8740,4760,19610,9130,7370,0,400,1090,620,1200,2150,30,50,7410,0
95816,2012,9960,4120,14070,2460,8410,0,1610,760,850,2960,2260,80,340,7340,0
95817,2012,5590,2440,9910,3330,4750,0,450,590,410,1400,1400,50,40,4460,0
95818,2012,10580,5280,18320,4890,8390,20,2370,860,1390,4310,2880,150,590,7290,0
95819,2012,8780,4850,15070,3420,6690,20,2540,620,1640,4510,2680,180,570,5760,0
95820,2012,14110,7400,29830,12390,11780,0,800,1660,1210,3070,3900,130,30,11680,0
95821,2012,14620,7310,28320,9540,11350,0,2090,1510,2170,4390,3750,190,230,10980,0
95822,2012,18850,10280,39080,15180,14580,0,2370,1980,2760,5160,5430,180,250,14560,0
95823,2012,28430,16270,67290,31680,24190,0,1090,3540,2170,5220,8480,190,50,24150,0
95824,2012,10670,6370,26110,12830,9080,0,280,1260,610,1320,2830,40,0,9210,0
95825,2012,13340,6690,23480,7820,10580,0,1800,1200,1780,3020,3210,60,250,10260,0
95826,2012,16440,7730,30150,9350,13390,0,1940,1770,2400,5030,4830,210,100,12640,0
95827,2012,9430,4680,19110,6950,7800,0,730,1100,1170,2660,2790,110,60,7350,0
95828,2012,23110,12740,52500,22830,19320,30,1280,2830,2180,5280,7110,200,70,18980,0
95829,2012,11420,6070,26250,10460,9670,40,1260,1280,1090,4910,4150,110,280,8670,0
95830,2012,380,260,810,260,300,0,80,30,70,170,120,0,30,260,0
95831,2012,20710,10240,37700,10520,15680,30,4960,1710,4210,8280,6430,270,760,14170,0
95832,2012,4170,2440,10300,5140,3650,0,100,530,200,710,1350,30,0,3700,0
95833,2012,16630,8290,34350,13460,14550,0,1190,2100,1330,4760,5250,160,140,13470,0
95834,2012,11450,5880,24610,9780,10170,0,840,1470,660,3600,3940,60,140,9160,0
95835,2012,15920,7990,34820,12680,13700,30,2370,1880,1570,7710,5820,110,500,11760,0
95837,2012,110,70,240,60,70,0,30,0,30,60,30,0,0,60,0
95838,2012,13720,7800,33610,16460,11930,0,320,1820,740,2480,4300,80,20,11860,0
95841,2012,8560,4450,16800,6100,6890,0,720,1020,960,1900,2150,70,70,6690,0
95842,2012,12770,6790,27570,11020,10670,0,660,1650,1210,2980,3670,150,0,10390,0
95843,2012,18800,10010,42930,17240,16340,0,1390,2370,1430,7110,6940,250,140,14640,0
95864,2012,11080,6460,21340,6220,7930,30,3780,770,2530,5530,3700,180,1220,6830,0
95901,2012,11990,6960,26980,10650,10180,240,990,2030,1310,2960,3580,100,80,9940,0
95903,2012,750,140,1630,550,740,0,40,30,0,40,320,0,0,720,0
95912,2012,2120,1490,5750,2790,1880,160,180,580,190,490,830,20,40,1680,0
95914,2012,330,220,750,260,250,30,40,50,70,110,70,0,0,260,0
95916,2012,490,310,960,270,310,0,60,70,120,130,80,0,0,350,0
95917,2012,1220,820,2800,1060,1020,90,70,260,160,320,360,0,20,940,0
95918,2012,900,590,1850,450,620,70,190,130,230,480,210,0,30,610,0
95919,2012,450,270,890,260,310,0,40,70,100,140,100,0,0,330,0
95920,2012,110,100,280,130,90,20,0,0,0,0,30,0,0,80,0
95922,2012,190,100,340,80,110,0,20,30,30,50,50,0,0,120,0
95925,2012,110,50,220,60,70,0,0,0,0,30,30,0,0,90,0
95926,2012,14050,7070,24970,7220,11380,80,2300,1390,1870,4140,3920,190,200,10470,0
95928,2012,13440,7110,24960,7640,10880,210,2430,1370,1770,4280,3980,190,400,9750,0
95932,2012,3270,2240,7720,3250,2760,150,400,680,440,840,1060,0,80,2440,0
95934,2012,110,60,210,50,70,0,0,20,20,0,0,0,0,70,0
95935,2012,280,150,560,160,180,0,30,60,50,80,40,0,0,180,0
95938,2012,1830,1140,3970,1340,1430,190,390,200,310,710,630,30,80,1250,0
95939,2012,130,90,270,80,100,0,0,0,30,0,0,0,0,90,0
95941,2012,150,80,320,100,100,0,0,30,40,40,20,0,0,100,0
95942,2012,610,360,1210,270,420,0,130,100,150,290,160,0,0,410,0
95943,2012,350,280,760,250,240,100,80,20,70,110,140,0,20,180,0
95945,2012,10950,6190,19830,5200,7500,60,2380,1140,2230,3810,2710,150,180,7240,0
95946,2012,4480,2510,8690,2020,2760,70,1270,390,1460,2240,1300,80,120,2730,0
95947,2012,710,390,1400,390,530,0,100,130,160,190,160,0,0,510,0
95948,2012,4310,2890,10600,4530,3660,240,400,940,490,1090,1300,30,60,3340,0
95949,2012,8560,4890,16560,3950,5750,170,2260,850,2240,3980,2310,180,210,5450,0
95953,2012,3710,2670,9430,4130,3210,170,290,980,370,930,1190,30,30,2910,0
95954,2012,4470,2570,8780,2380,3080,0,640,580,1040,1340,940,40,0,3220,0
95957,2012,330,230,680,240,240,30,50,50,60,80,80,0,0,220,0
95959,2012,8150,4760,14910,3460,5170,90,2590,710,1940,3660,2200,150,310,4680,0
95960,2012,510,310,930,240,270,0,80,50,70,140,90,0,0,300,0
95961,2012,8990,5090,23490,10720,8020,40,490,1590,630,2510,3290,70,60,7790,0
95962,2012,670,430,1260,270,470,0,110,90,120,260,120,0,0,420,0
95963,2012,5960,4150,14160,5740,4940,480,660,1030,740,1360,1790,50,60,4560,0
95965,2012,6720,4010,14450,5550,5400,120,580,1100,890,1440,1640,50,70,5430,0
95966,2012,10630,6770,22070,7380,8060,170,1420,1660,2050,2890,2640,140,110,8080,0
95968,2012,790,550,1810,690,640,20,40,210,110,140,190,0,0,630,0
95969,2012,10620,6120,20270,5280,7430,30,2040,1180,2360,3550,2640,150,140,7430,0
95970,2012,260,200,530,170,200,50,40,40,50,70,70,0,0,160,0
95971,2012,2640,1640,4920,1260,2010,0,480,350,500,820,700,50,30,1910,0
95973,2012,13770,7530,27640,8750,11090,250,2380,1540,1930,4880,4380,210,370,9990,0
95975,2012,740,450,1410,340,500,0,160,90,170,280,190,0,0,490,0
95977,2012,620,330,1250,350,460,20,60,90,110,270,170,0,0,440,0
95979,2012,180,120,360,70,120,0,30,20,50,40,30,0,0,130,0
95982,2012,1430,890,3030,1020,1190,50,150,240,190,510,440,0,30,1100,0
95983,2012,200,130,340,70,120,0,40,30,40,50,40,0,0,130,0
95987,2012,2600,2000,7470,3830,2360,100,130,860,160,500,970,0,30,2150,0
95988,2012,3530,2360,7960,3050,2870,170,500,530,490,880,1060,40,60,2630,0
95991,2012,15010,9510,35580,15240,12770,150,1290,2620,1590,3820,4620,120,150,12150,0
95993,2012,14470,9800,32710,11820,11740,310,2060,2610,2110,5280,4780,130,290,10600,0
96001,2012,13390,7450,26640,8190,10180,50,2510,1630,2440,4700,3870,220,390,9530,0
96002,2012,13180,7070,27070,9010,10400,80,1830,1760,2090,3810,3760,130,160,9870,0
96003,2012,17720,9260,34320,9880,13820,130,2740,2280,3110,5690,4900,220,240,12870,0
96006,2012,210,140,400,100,140,20,30,40,40,40,60,0,0,140,0
96007,2012,8660,4930,17970,5960,6890,200,950,1480,1300,2280,2410,100,70,6740,0
96008,2012,720,430,1460,420,540,30,120,100,150,290,200,0,0,500,0
96013,2012,1640,1010,3420,1080,1330,0,170,320,260,380,450,0,0,1250,0
96015,2012,140,50,280,80,110,0,30,0,20,40,0,0,0,110,0
96016,2012,140,100,280,50,80,0,30,0,50,50,30,0,0,70,0
96019,2012,3660,1900,7610,2530,3010,0,310,660,500,950,980,40,0,2930,0
96020,2012,1200,710,2270,580,870,0,230,250,260,410,280,0,0,830,0
96021,2012,5870,4030,13800,5690,4890,320,490,1040,700,1090,1640,30,30,4700,0
96022,2012,6260,3780,13470,4350,4870,230,830,990,1110,2170,1860,90,70,4670,0
96023,2012,450,230,1030,400,340,30,30,130,60,70,130,0,0,360,0
96024,2012,310,170,580,120,190,0,50,40,80,110,60,0,0,210,0
96025,2012,850,440,1580,420,640,0,120,170,150,190,170,0,0,650,0
96027,2012,820,470,1730,510,580,50,150,120,160,220,230,0,0,580,0
96028,2012,590,410,1290,400,410,30,120,120,160,180,150,0,0,400,0
96032,2012,910,530,1870,530,610,70,180,140,210,250,220,0,0,640,0
96033,2012,150,80,330,80,110,0,20,30,40,20,30,0,0,110,0
96034,2012,120,80,220,50,80,0,20,0,30,30,20,0,0,80,0
96035,2012,1070,690,2580,1080,920,70,80,200,120,190,300,0,0,880,0
96038,2012,270,150,560,160,200,30,40,50,40,70,80,0,0,210,0
96039,2012,410,130,830,270,330,0,30,80,50,50,100,0,0,310,0
96040,2012,110,90,210,60,80,0,0,20,30,20,20,0,0,60,0
96041,2012,740,390,1450,420,490,40,90,120,120,150,140,0,0,510,0
96044,2012,350,210,660,150,240,0,40,60,80,80,70,0,0,240,0
96047,2012,370,230,700,180,260,30,50,60,80,130,70,0,0,260,0
96048,2012,280,140,500,110,180,0,50,30,70,70,60,0,0,170,0
96050,2012,160,70,280,70,90,0,20,0,30,30,0,0,0,90,0
96051,2012,470,280,850,170,320,0,80,70,120,170,80,0,0,310,0
96052,2012,460,270,850,190,290,0,90,60,120,110,90,0,0,310,0
96055,2012,1400,870,3130,1100,1110,80,100,200,270,340,390,0,0,1080,0
96056,2012,600,380,1300,390,450,50,110,120,120,180,170,0,0,400,0
96057,2012,480,240,880,190,300,0,90,110,130,130,100,0,0,340,0
96058,2012,260,150,680,300,220,20,20,70,30,30,70,0,0,190,0
96059,2012,200,140,390,90,120,20,20,30,60,70,30,0,0,130,0
96062,2012,490,300,1030,300,370,40,100,80,110,210,150,0,0,310,0
96064,2012,1580,840,3180,930,1190,130,260,250,330,410,410,0,0,1150,0
96065,2012,140,80,270,70,90,0,0,20,30,20,0,0,0,90,0
96067,2012,3400,1920,6200,1540,2390,0,750,460,650,1140,950,50,60,2210,0
96069,2012,350,190,700,180,230,20,70,60,90,110,80,0,0,230,0
96073,2012,2200,1360,4430,1200,1590,120,570,240,540,1020,650,40,90,1390,0
96080,2012,11140,6470,23350,7820,8670,310,1580,1650,1870,3150,3020,90,170,8230,0
96086,2012,100,40,200,40,70,0,0,0,30,20,20,0,0,70,0
96088,2012,1790,1010,3470,740,1170,30,330,270,530,670,360,30,0,1200,0
96091,2012,240,120,420,50,140,0,60,30,90,70,40,0,0,130,0
96094,2012,2580,1330,5170,1470,1910,20,420,400,460,780,730,30,20,1890,0
96096,2012,300,170,570,130,190,30,60,40,70,120,60,0,0,190,0
96097,2012,4010,2190,8080,2540,3130,50,640,570,710,1040,1130,40,30,3040,0
96101,2012,2010,970,3980,1170,1540,70,200,310,350,450,520,20,0,1500,0
96103,2012,740,450,1250,160,410,0,260,110,260,320,160,0,0,420,0
96104,2012,310,200,580,140,220,50,60,40,60,70,70,0,0,210,0
96105,2012,180,100,340,90,140,0,0,40,30,60,40,0,0,120,0
96107,2012,410,230,890,250,320,0,50,40,70,100,130,0,0,310,0
96109,2012,310,180,640,220,240,0,0,40,40,90,90,0,0,240,0
96114,2012,1240,760,2680,830,1010,50,150,110,240,560,390,30,0,920,0
96117,2012,150,90,310,100,120,0,0,0,0,40,40,0,0,110,0
96118,2012,580,270,1230,370,450,0,60,90,110,190,160,0,0,430,0
96120,2012,360,220,710,200,260,0,50,50,60,130,80,0,0,240,0
96121,2012,170,110,350,90,130,0,0,0,40,50,40,0,0,130,0
96122,2012,1530,890,3100,930,1190,0,170,310,280,410,360,0,0,1150,0
96124,2012,140,80,250,60,110,0,20,30,30,60,30,0,0,100,0
96125,2012,130,70,210,30,80,0,30,0,40,40,0,0,0,80,0
96128,2012,260,170,540,190,210,40,20,30,30,90,80,0,0,190,0
96130,2012,5740,3440,12140,4190,4790,60,590,580,830,1880,1820,110,40,4420,0
96134,2012,900,600,2120,880,760,70,110,240,120,110,260,0,0,680,0
96137,2012,1260,720,2440,600,870,0,230,270,350,430,300,0,0,850,0
96146,2012,710,380,1080,190,580,0,200,130,90,250,190,0,40,450,0
96150,2012,6900,3500,11950,3160,5820,0,1040,1070,630,2100,1770,80,100,5250,0
96161,2012,4950,2660,9810,3090,4110,0,1340,660,510,2270,1690,70,290,3310,0
99999,2012,404700,255420,784990,268880,314190,3350,60460,51520,48700,128920,107600,1310,14950,278420,0
90001,2013,20970,17360,53540,28170,17740,0,190,1600,380,2770,6350,40,30,18460,0
90002,2013,18960,15120,47200,24850,15910,0,170,1450,360,2890,5660,50,20,17040,0
90003,2013,26180,20570,64470,33760,21680,0,230,1880,490,3280,7510,50,20,23100,0
90004,2013,27360,20260,51180,17800,22010,0,2820,1840,1310,5470,6420,50,1010,19660,690
90005,2013,15430,11210,29910,11130,12610,0,1080,830,450,2170,3240,0,260,11260,180
90006,2013,22630,17840,47590,20210,18360,0,610,1220,470,2020,4980,0,70,17660,0
