City,Date,Total
Berkeley,10/8/2004,1
Berkeley,2/2/2005,1
Berkeley,7/28/2005,1
Berkeley,2/27/2006,1
Berkeley,3/5/2006,1
Berkeley,3/16/2007,1
Berkeley,5/23/2007,1
Berkeley,7/28/2007,1
Berkeley,3/26/2008,1
Berkeley,1/18/2009,1
Berkeley,1/21/2009,1
Berkeley,2/1/2009,1
Berkeley,2/7/2009,1
Berkeley,3/25/2009,1
Berkeley,6/15/2009,1
Berkeley,11/25/2009,1
Berkeley,12/17/2009,1
Berkeley,5/2/2010,1
Berkeley,11/2/2010,1
Berkeley,12/14/2011,1
Berkeley,5/5/2012,1
Berkeley,11/14/2012,1
Berkeley,12/31/2012,1
Berkeley,1/1/2013,1
Berkeley,7/3/2013,1
Berkeley,1/2/2014,1
Berry Creek,9/4/2005,1
Berry Creek,7/15/2010,1
Beverly Hills,11/18/2008,1
Beverly Hills,10/28/2012,1
Big Bear City,5/1/1978,1
Big Bear City,7/17/1994,1
Big Bear City,8/1/1999,1
Big Bear Lake,4/14/1997,1
Big Bear Lake,1/2/2000,1
Big Bear Lake,5/26/2001,1
Big Bear Lake,12/5/2001,1
Big Bear Lake,2/4/2003,1
Big Bear Lake,6/23/2007,1
Big Bear Lake,9/22/2009,1
Big Bear Lake,8/12/2012,1
Big Bear Lake,6/23/2013,1
Big Pine,2/1/1996,1
Big Pine,8/10/1998,1
Big Pine,7/10/2000,1
Big Pine,7/4/2001,1
Big River,5/15/2005,1
Big River,5/3/2008,1
Big River,2/4/2009,1
Big Sur,8/18/1966,1
Big Sur,3/25/1979,1
Big Sur,8/1/1998,1
Big Sur,9/12/2001,1
Big Sur,7/10/2002,1
Big Sur,9/7/2005,1
Big Sur,5/11/2010,1
Big Sur,8/7/2011,1
Big Sur,10/28/2011,1
Big Sur,1/4/2012,1
Biola,8/15/1969,1
Biola,7/21/2006,1
Biola,6/14/2007,1
Bishop,6/15/1968,1
Bishop,4/1/1983,1
Bishop,9/15/1993,1
Bishop,4/25/1996,1
Bishop,8/1/1996,1
Bishop,8/21/1998,1
Bishop,9/27/1998,1
Bishop,2/27/1999,1
Bishop,5/28/2005,1
Bishop,8/19/2006,1
Bishop,11/5/2007,1
Bishop,4/20/2011,1
Bishop,12/1/2011,1
Bishop,3/23/2012,1
Bishop,3/29/2012,1
Bishop,5/21/2012,1
Blackhawk,9/12/1998,1
Blackhawk,9/20/2002,1
Blackhawk,8/31/2004,1
Blackhawk,7/10/2005,1
Blackhawk,7/23/2006,1
Blackhawk,9/18/2012,1
Blackhawk,2/18/2014,1
Bloomington,12/11/2000,1
Bloomington,11/4/2006,1
Bloomington,12/16/2011,1
Blythe,6/1/1988,1
Blythe,6/10/1996,1
Blythe,1/3/1999,1
Blythe,11/1/2000,1
Blythe,3/23/2001,1
Blythe,3/8/2007,1
Blythe,9/8/2011,1
Blythe,6/19/2013,1
Blythe,7/10/2013,1
Blythe,2/24/2014,1
Blythe,4/16/2014,1
Bodega Bay,7/15/1969,1
Bodega Bay,9/17/2007,1
Bodega Bay,6/20/2012,1
Bodega Bay,1/3/2013,1
Bonita,1/1/2010,1
Bonny Doon,12/31/2000,1
Bonny Doon,4/13/2001,1
Bonny Doon,5/15/2002,1
Bonny Doon,7/5/2002,1
Bonny Doon,9/19/2002,1
Bonny Doon,6/4/2007,1
Bonny Doon,7/30/2009,1
Bonny Doon,4/28/2010,1
Bonny Doon,2/6/2011,1
Bonny Doon,12/4/2011,1
Bonny Doon,9/12/2013,1
Bonsall,11/6/2013,1
Bonsall,4/7/2014,1
Boonville,10/28/2006,1
Boonville,9/8/2012,1
Borrego Springs,3/12/1995,1
Borrego Springs,12/20/2002,1
Borrego Springs,3/31/2005,1
Borrego Springs,10/26/2005,1
Borrego Springs,6/21/2007,1
Borrego Springs,12/2/2008,1
Borrego Springs,12/10/2011,1
Borrego Springs,3/20/2013,1
Borrego Springs,5/25/2013,1
Borrego Springs,12/26/2013,1
Borrego Springs,2/6/2014,1
Boulder Creek,4/1/1971,1
Boulder Creek,6/1/1974,1
Boulder Creek,3/17/1995,1
Boulder Creek,1/6/2007,1
Boulder Creek,4/3/2011,1
Bradley,10/29/2007,1
Brawley,6/5/1991,1
Brawley,5/23/1995,1
Brawley,2/14/2001,1
Brawley,12/31/2006,1
Brawley,12/1/2008,1
Brawley,2/26/2013,1
Brea,7/15/1972,1
Brea,7/15/1975,1
Brea,3/15/1977,1
Brea,8/15/1977,1
Brea,5/13/2001,1
Brea,9/16/2002,1
Brea,6/20/2004,1
Brea,2/20/2008,1
Brea,3/1/2009,2
Brea,2/11/2011,1
Brea,9/4/2011,1
Brea,12/11/2013,1
Brentwood,3/12/1997,1
Brentwood,11/20/1998,1
Brentwood,7/17/2004,1
Brentwood,1/1/2005,1
Brentwood,1/2/2005,1
Brentwood,9/22/2005,1
Brentwood,4/16/2007,1
Brentwood,4/24/2007,1
Brentwood,4/7/2008,3
Brentwood,8/13/2008,1
Brentwood,1/9/2011,1
Brentwood,8/21/2011,1
Brentwood,2/3/2014,1
Bridgeport,11/23/2005,1
Bridgeville,1/12/2009,1
Buena Park,6/23/1995,1
Buena Park,7/15/1995,1
Buena Park,8/15/1995,1
Buena Park,12/31/2002,1
Buena Park,10/8/2005,1
Buena Park,10/28/2006,1
Buena Park,11/10/2006,1
Buena Park,11/26/2007,1
Buena Park,1/18/2009,1
Buena Park,9/30/2010,1
Buena Park,5/15/2011,1
Buena Park,8/11/2011,1
Buena Park,11/3/2012,1
Burbank,6/1/1970,1
Burbank,4/15/1981,1
Burbank,6/26/1994,1
Burbank,1/28/1995,1
Burbank,8/28/1995,1
Burbank,11/5/1998,1
Burbank,8/28/1999,1
Burbank,5/26/2000,1
Burbank,1/12/2001,1
Burbank,2/16/2001,1
Burbank,8/6/2001,1
Burbank,12/12/2001,1
Burbank,11/10/2002,1
Burbank,1/1/2003,3
Burbank,1/10/2003,1
Burbank,1/12/2003,1
Burbank,1/15/2003,1
Burbank,1/17/2003,2
Burbank,1/23/2003,1
Burbank,1/25/2003,1
Burbank,2/1/2003,1
Burbank,2/6/2003,1
Burbank,2/8/2003,1
Burbank,2/14/2003,1
Burbank,2/16/2003,1
Burbank,2/17/2003,2
Burbank,3/30/2003,1
Burbank,7/26/2003,1
Burbank,8/20/2003,1
Burbank,8/26/2003,1
Burbank,8/31/2003,1
Burbank,11/17/2003,1
Burbank,12/24/2003,1
Burbank,2/5/2004,1
Burbank,3/30/2004,1
Burbank,8/15/2004,1
Burbank,7/15/2005,1
Burbank,9/12/2005,1
Burbank,12/20/2005,1
Burbank,8/26/2006,1
Burbank,9/3/2006,1
Burbank,11/15/2006,1
Burbank,12/16/2006,1
Burbank,1/13/2007,1
Burbank,1/16/2007,1
Burbank,2/4/2007,2
Burbank,12/4/2007,1
Burbank,12/25/2007,1
Burbank,1/1/2008,3
Burbank,1/19/2008,1
Burbank,1/29/2008,1
Burbank,2/11/2008,1
Burbank,8/1/2008,1
Burbank,1/27/2009,1
Burbank,6/1/2009,1
Burbank,7/11/2009,1
Burbank,9/11/2009,1
Burbank,12/31/2009,1
Burbank,3/28/2010,1
Burbank,6/14/2010,1
Burbank,7/12/2010,1
Burbank,8/14/2010,1
Burbank,7/3/2011,1
Burbank,9/29/2011,1
Burbank,5/20/2012,1
Burbank,8/19/2012,1
Burbank,10/9/2012,1
Burbank,11/3/2012,2
Burbank,12/7/2012,1
Burbank,1/9/2013,1
Burbank,4/11/2013,1
Burbank,9/16/2013,1
Burbank,11/13/2013,1
Burbank,12/21/2013,1
Burbank,1/1/2014,1
Burlingame,7/13/1998,1
Burlingame,11/5/1999,1
Burlingame,11/16/1999,1
Burlingame,8/8/2005,1
Burlingame,3/2/2008,1
Burlingame,9/26/2009,1
Burney,2/15/1954,1
Burney,3/6/2002,1
Burney,6/9/2003,1
Burney,12/2/2005,1
Butte Meadows,6/1/1977,1
Butte Valley,9/20/2010,1
Butte Valley,3/20/2013,1
Buttonwillow,1/18/2000,1
Buttonwillow,5/15/2000,1
Cabazon,6/30/1989,1
Cabazon,6/9/1996,1
Cabazon,1/23/2002,1
Cabazon,9/1/2005,1
Cabazon,6/7/2010,1
Cabazon,4/14/2011,1
Cabazon,4/14/2014,1
Calabasas,10/10/1989,1
Calabasas,4/28/2003,1
Calabasas,1/4/2005,1
Calabasas,11/10/2005,1
Calabasas,3/31/2006,1
Calabasas,10/29/2007,1
Calabasas,3/21/2008,1
Calabasas,11/14/2008,1
Calabasas,8/12/2010,1
Calabasas,10/26/2013,1
Calabasas,12/25/2013,1
Calexico,9/9/2003,1
Calexico,6/17/2008,1
California City,9/19/2003,1
California City,11/4/2003,1
Calimesa,3/4/2008,1
Calimesa,12/30/2012,1
Calimesa,2/22/2013,1
Calimesa,5/7/2014,1
Calistoga,2/15/1991,1
Calistoga,8/14/1992,1
Calistoga,7/2/1997,1
Calistoga,8/13/2000,1
Calistoga,12/9/2001,1
Calistoga,1/17/2003,1
Calistoga,12/23/2006,1
Calistoga,12/30/2008,1
Calistoga,12/24/2011,1
Calpella,3/2/2002,1
Calpella,2/13/2013,1
Camarillo,12/10/1996,1
Camarillo,6/30/1997,1
Camarillo,10/9/1997,1
Camarillo,1/6/1998,1
Camarillo,11/25/2000,1
Camarillo,5/19/2002,1
Camarillo,5/21/2002,1
Camarillo,8/2/2002,1
Camarillo,8/29/2002,1
Camarillo,6/12/2003,1
Camarillo,12/9/2003,1
Camarillo,8/3/2004,1
Camarillo,10/9/2005,1
Camarillo,11/15/2005,1
Camarillo,2/13/2006,1
Camarillo,3/11/2006,1
Camarillo,6/30/2006,1
Camarillo,11/13/2009,1
Camarillo,6/7/2012,1
Camarillo,6/9/2012,1
Camarillo,7/28/2012,1
Cambria,7/10/2007,1
Cambria,9/17/2010,1
Cambria,2/16/2014,1
Cameron Park,10/29/2006,1
Camp Pendleton,3/21/1970,1
Camp Pendleton,6/10/1981,1
Camp Pendleton,6/1/1993,1
Camp Pendleton,6/10/2002,1
Camp Pendleton,12/8/2006,2
Camp Pendleton,3/6/2011,1
Campbell,9/5/1957,1
Campbell,6/15/1959,1
Campbell,7/1/1972,1
Campbell,8/1/1974,1
Campbell,3/1/1978,1
Campbell,3/1/1981,1
Campbell,2/15/1986,1
Campbell,4/15/1996,1
Campbell,11/3/2003,1
Campbell,11/20/2003,1
Campbell,11/21/2004,1
Campbell,2/16/2006,1
Campbell,5/12/2006,1
Campbell,5/23/2006,1
Campbell,8/16/2006,1
Campbell,2/12/2008,1
Campbell,4/19/2009,1
Campbell,12/19/2009,1
Campbell,5/23/2010,1
Campbell,12/15/2010,1
Campbell,8/6/2011,1
Campbell,7/7/2012,1
Campbell,12/28/2013,1
Campbell,1/15/2014,1
Campbell,1/24/2014,1
Campbell,4/11/2014,1
Camptonville,6/23/1997,1
Canoga Park,9/15/1966,1
Canoga Park,6/15/1968,1
Canoga Park,3/31/1980,1
Canoga Park,9/30/2000,1
Canoga Park,6/23/2002,1
Canoga Park,7/10/2004,1
Canoga Park,2/25/2006,1
Canoga Park,8/18/2007,1
Canoga Park,3/2/2008,1
Canoga Park,6/1/2008,1
Canoga Park,1/1/2009,1
Canoga Park,1/10/2009,1
Canoga Park,11/24/2009,1
Canoga Park,3/8/2011,1
Canoga Park,3/16/2011,1
Canoga Park,9/22/2012,1
Canoga Park,1/6/2013,1
Canyon Lake,11/12/2008,1
Canyon Lake,11/10/2011,1
Canyon Lake,12/12/2013,1
Capistrano Beach,9/26/2000,1
Capistrano Beach,9/20/2008,1
Capistrano Beach,11/5/2011,1
Capitola,6/1/1945,1
Capitola,4/15/1963,1
Capitola,8/5/2002,1
Capitola,4/14/2007,1
Cardiff,4/8/1999,1
Cardiff,4/20/2003,1
Cardiff,2/27/2008,1
Cardiff,4/20/2013,1
Carlsbad,3/20/1975,1
Carlsbad,8/1/1987,1
Carlsbad,9/1/1997,1
Carlsbad,11/18/1999,1
Carlsbad,9/21/2002,1
Carlsbad,3/26/2003,1
Carlsbad,3/7/2004,1
Carlsbad,5/29/2004,1
Carlsbad,8/25/2004,1
Carlsbad,1/13/2005,1
Carlsbad,10/28/2005,1
Carlsbad,1/4/2006,1
Carlsbad,12/1/2006,1
Carlsbad,12/29/2007,1
Carlsbad,2/8/2008,1
Carlsbad,2/12/2008,1
Carlsbad,2/15/2008,1
Carlsbad,2/17/2008,1
Carlsbad,3/13/2008,1
Carlsbad,11/16/2008,1
Carlsbad,2/2/2009,1
Carlsbad,6/27/2009,1
Carlsbad,12/11/2009,1
Carlsbad,12/20/2009,1
Carlsbad,1/15/2010,1
Carlsbad,6/21/2010,1
Carlsbad,6/26/2010,1
Carlsbad,9/1/2010,1
Carlsbad,2/12/2011,1
Carlsbad,8/31/2012,1
Carlsbad,11/18/2012,1
Carlsbad,3/21/2013,1
Carlsbad,7/6/2013,1
