City,ZipCode,Population,$ IncomePerHousehold,Transport_tCO2e_yr,Food_tCO2e_yr,Total_tCO2e_yr
SUNSET BEACH,90742,1097,65990,16.91047559,5.79,43.91662254
SURFSIDE,90743,170,61786,15.56961222,7.62,45.9044817
WILMINGTON,90744,53308,30259,12.14361292,11.4,39.58406904
CARSON,90745,55473,50610,17.8047785,11.22,49.48214594
CARSON,90746,25561,59390,18.49886126,9.81,51.35900878
LONG BEACH,90802,38419,25860,8.648002944,6,28.26892565
LONG BEACH,90803,31349,60513,14.81939607,5.28,40.02366645
LONG BEACH,90804,43466,29872,10.48935758,8.31,33.95841442
LONG BEACH,90805,91663,32565,12.08544478,10.38,39.08785206
LONG BEACH,90806,49641,31488,11.31134578,10.02,37.54922537
LONG BEACH,90807,31549,50543,14.78640482,7.32,41.51736177
LONG BEACH,90808,37403,63620,19.29819345,7.83,49.83363759
LONG BEACH,90810,35637,36966,14.27366164,11.49,43.69847729
LONG BEACH,90813,63129,20015,8.00723949,11.19,33.08066395
LONG BEACH,90814,19014,41808,13.08382137,5.97,35.83530434
LONG BEACH,90815,38892,61074,17.27377029,7.26,46.07638107
ALTADENA,91001,36235,63543,18.24744814,8.61,50.88417586
ARCADIA,91006,30010,58779,17.7715944,8.58,48.61353439
ARCADIA,91007,30925,51255,15.79325296,7.89,43.74870382
DUARTE,91010,27400,50634,17.48860519,9.93,47.98279142
LA CANADA FLINTRIDGE,91011,20187,109802,26.40005497,8.82,66.88082013
MONROVIA,91016,41050,46468,14.89273756,8.28,42.58697134
MONTROSE,91020,7515,41580,13.93854894,6.75,38.12211432
SIERRA MADRE,91024,10545,65862,18.44536843,6.6,47.69191986
SOUTH PASADENA,91030,23975,55701,15.58215522,6.9,42.63651969
SUNLAND,91040,18748,51894,18.54059616,7.86,46.99568424
TUJUNGA,91042,26738,42882,16.71171151,8.07,43.49106524
PASADENA,91101,16809,38187,10.14465674,5.55,31.40353675
PASADENA,91103,27887,34824,12.56215386,9.99,40.37980448
PASADENA,91104,38449,41815,14.15494225,8.82,41.95454638
PASADENA,91105,10245,83737,18.47045058,6.39,50.61514482
PASADENA,91106,23725,46617,12.79878822,6.54,37.38767001
PASADENA,91107,32360,56426,16.12092372,7.56,44.900344
SAN MARINO,91108,13149,119147,25.16394681,9.06,67.79111145
GLENDALE,91201,23978,38179,14.05967331,8.58,39.97613238
GLENDALE,91202,21971,49818,15.33013737,7.47,42.0090282
GLENDALE,91203,14479,32350,11.91824134,7.95,35.41230528
GLENDALE,91204,16997,32339,11.06626421,8.94,35.27939083
GLENDALE,91205,41381,27701,10.66742468,8.64,33.99102036
GLENDALE,91206,31284,41674,13.8069435,7.29,38.3675279
GLENDALE,91207,9852,62347,18.6694091,7.5,48.53162671
GLENDALE,91208,16909,76034,20.50336437,7.74,53.12567394
LA CRESCENTA,91214,29101,64843,19.28338818,8.43,50.67321898
AGOURA HILLS,91301,25302,88725,24.21621461,8.91,61.94201014
CALABASAS,91302,23644,93378,22.70482218,8.28,59.87120748
CANOGA PARK,91303,23508,36769,12.39816042,9.33,38.65995261
