ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
90503,2010,1490176,1141474,16708,16823,33967,35273,109880,996876,8694,582,178841,6241,47369,0
90504,2010,888083,688340,11521,13910,24005,19490,57374,558801,6084,494,87847,1544,33274,0
90505,2010,1361194,966160,23864,14736,36159,34830,108571,912683,7280,650,174918,7388,42128,0
90601,2010,779689,594976,12630,16944,17311,18673,51122,472395,5775,408,75776,2290,33815,0
90602,2010,447213,360689,3838,11810,7758,8879,25032,249058,4131,220,36642,914,24376,0
90603,2010,621403,452177,12665,9768,14952,15900,45404,392571,4439,413,67533,2141,22519,0
90604,2010,782935,649995,1275,20612,14869,17486,46151,432385,8070,525,57443,569,38879,0
90605,2010,835793,627952,9020,21241,14197,19718,52523,457326,7936,423,73332,2349,44408,0
90606,2010,537548,458371,-298,16746,7813,11379,27129,271692,6319,280,32755,195,33488,0
90620,2010,1019363,825685,6953,26084,19921,21777,59997,585154,9519,620,83769,1328,45193,0
90621,2010,619992,485224,7022,14984,9578,12034,32807,331914,5325,244,50612,1203,34208,0
90623,2010,472545,347399,5571,6720,14253,11320,33947,297889,3086,353,50665,1621,16743,0
90630,2010,1485267,1127387,14442,24665,35856,34872,105204,944828,10506,1039,161382,5339,51344,0
90631,2010,1651171,1208112,26201,31520,34750,37968,114602,982838,12086,988,170971,6307,74320,0
90638,2010,1199805,925421,14654,23551,29392,30905,83019,718593,9117,806,111156,2269,46110,0
90640,2010,1079631,846817,6044,28023,22670,23474,56335,579133,10640,459,80308,1398,65136,0
90650,2010,1673809,1429328,412,51872,22208,33256,81380,836765,19861,732,100479,789,104855,0
90660,2010,1008155,847299,1399,33011,14420,22059,51137,497207,11701,454,60075,544,66032,0
90670,2010,367087,263260,13464,9050,5135,6967,22812,214159,3547,281,36067,708,19150,0
90680,2010,465342,386582,1025,14817,7120,7954,21094,234678,4494,210,30097,234,28251,0
90701,2010,294666,232919,4214,7347,5537,6093,15214,155591,2774,141,21932,1090,17127,0
90703,2010,1667468,1198247,23613,22619,47483,40845,125141,1076713,10657,1105,191892,6351,57479,0
90706,2010,1245189,1053287,2980,35127,18216,20209,56315,656096,14119,460,84266,967,78245,0
90710,2010,538616,419705,4049,10045,13011,12432,33274,306117,3871,230,46035,727,26311,0
90712,2010,898169,730284,6820,16237,18592,22433,62494,547979,6971,641,84958,1588,34419,0
90713,2010,831144,687372,1389,14642,17624,20881,58737,509840,6275,634,77265,1146,30035,0
90715,2010,389176,332505,-156,9556,5912,7399,20884,214640,3818,164,28825,274,19763,0
90716,2010,161530,141206,208,5564,1304,2076,4718,64070,1929,42,6659,0,14426,0
90717,2010,520028,410716,3373,9963,11538,12232,32576,317497,3456,241,49936,927,21820,0
90720,2010,952636,637262,30513,10030,22922,22770,77363,648847,4713,696,134647,6473,28714,0
90723,2010,693931,588002,368,24262,5596,10837,26707,309135,9362,156,36852,639,59671,0
90731,2010,1146532,923288,5440,25303,22626,21866,64622,678278,8639,421,105434,2315,57953,0
90732,2010,749749,531954,10315,8828,24790,20960,60168,492094,3579,420,88430,3082,24987,0
90740,2010,1004705,576894,30012,9757,42150,22495,75437,693188,3561,545,139100,6329,27763,0
90744,2010,666795,574474,-25,19904,7436,9536,25627,294103,7792,162,34943,495,54894,0
90745,2010,1151189,952652,984,27905,20679,25594,67457,620888,11391,486,86744,1009,62971,0
90746,2010,663499,512650,1100,12322,18895,17501,44807,371512,5469,401,54776,1025,31372,0
90755,2010,334409,258127,7321,5619,4826,8165,24760,211392,2175,120,39125,1050,13938,0
90802,2010,865170,713937,7680,19071,9379,12099,46122,551465,4936,176,94282,2315,41438,0
90803,2010,1722520,1040754,95151,16792,38333,38126,138728,1254984,5026,472,282224,14089,50581,0
90804,2010,614354,530677,1469,17355,4614,7268,24017,339497,5896,137,48260,579,39771,0
90805,2010,1229720,1061496,733,38528,13166,19367,48992,560103,15775,453,63197,463,102625,0
90806,2010,604359,507381,2576,16579,6979,9658,26636,293970,6630,265,38588,477,46627,0
90807,2010,1079826,784595,20703,16347,20275,24537,80483,696056,6465,519,129279,4279,42302,0
90808,2010,1371424,1054506,8574,19139,33611,35167,105054,882989,8068,1079,150685,4064,44468,0
90810,2010,570183,482400,642,17008,8010,9458,25492,279118,6683,207,34847,570,39175,0
90813,2010,503482,440971,1012,15393,2129,3659,10590,191699,5744,82,22686,206,54706,0
90814,2010,622431,483153,12345,11173,8718,12357,42843,418131,3455,197,77367,3134,22483,0
90815,2010,1354043,967079,16087,17158,36094,31905,102139,891610,7685,803,161585,5487,45873,0
91001,2010,1314269,924715,48312,16604,26064,35334,109473,853526,6862,770,171092,9298,46556,0
91006,2010,1359703,821955,62973,12801,26450,43331,128707,913725,9067,705,198865,11661,53506,0
91007,2010,1037778,692519,33639,10447,21835,32957,87628,680401,6147,548,131589,7387,36852,0
91008,2010,113798,42905,3306,353,1606,3434,12796,81250,243,0,23689,1109,3779,0
91010,2010,548276,430098,6039,12175,11519,12828,33917,305577,4643,290,45888,770,28223,0
