ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
93610,2012,277325,190245,10317,5580,6197,2665,10726,157773,2195,48,24650,393,13986,0
93611,2012,1291462,947226,10706,13486,33205,22890,77805,843432,9282,388,139957,2932,36986,0
93612,2012,518140,403405,2389,12057,12987,4746,15693,286642,4471,78,38320,391,28297,0
93614,2012,274701,170201,2231,4512,14676,4421,13927,173333,1503,51,27876,379,7893,0
93615,2012,53114,43150,64,3885,374,168,648,15993,481,0,1593,0,5698,0
93616,2012,29960,21758,216,1569,541,219,618,12543,263,0,1558,0,2451,0
93618,2012,352514,281686,2669,15237,6146,3157,10235,155284,3697,45,18612,325,26817,0
93619,2012,1367781,949903,49494,8100,27721,31140,104634,949876,7396,767,187795,7529,30449,0
93620,2012,137658,90715,1232,5964,3094,981,4834,72008,1102,0,11397,352,7567,0
93621,2012,8177,5288,0,181,385,133,370,4729,35,0,660,0,340,0
93622,2012,155834,100181,1585,10323,2031,853,5690,79788,1611,0,14547,286,9012,0
93625,2012,145539,107609,998,2912,3562,1832,6272,84162,1308,0,12717,270,6629,0
93626,2012,121120,42414,610,393,1797,1451,6810,98577,105,0,28509,484,4118,0
93628,2012,3652,3051,0,0,0,0,0,1595,39,0,167,0,249,0
93630,2012,307658,215463,2491,9330,5925,2521,10988,164671,3055,77,25624,610,17247,0
93631,2012,441310,280817,10446,6654,9729,5702,24251,289997,3090,118,54962,1613,13957,0
93635,2012,644790,495828,7596,23505,13447,7076,23583,344007,6701,43,47882,651,36362,0
93636,2012,331406,221795,9341,4016,10644,5417,19145,215103,2225,208,35778,884,9265,0
93637,2012,684860,451154,48038,12076,15302,6320,27230,398522,5776,95,63887,1305,33122,0
93638,2012,525389,432953,2095,16147,7054,3528,11971,199823,4766,70,24417,230,47079,0
93640,2012,134163,100188,0,18904,678,329,1222,38899,1427,0,4353,0,13331,0
93641,2012,6970,3877,0,240,398,89,276,4338,18,0,637,0,284,0
93643,2012,64811,34865,1072,1136,3609,966,3164,39996,279,0,6341,170,2134,0
93644,2012,199629,110963,4665,2820,10796,3306,10387,123710,871,27,20269,624,6314,0
93645,2012,10797,5379,339,0,353,157,742,7453,24,0,1259,0,252,0
93646,2012,94126,72116,1988,6671,1029,289,1192,35619,880,0,4882,0,9311,0
93647,2012,101804,82307,740,7270,1289,493,1769,33559,942,0,3575,0,10045,0
93648,2012,149424,129323,102,9694,762,693,2058,47305,1593,0,4412,0,16090,0
93650,2012,52820,39363,-42,1340,1403,375,1397,26171,382,0,3806,0,3955,0
93651,2012,53624,36567,460,596,1939,1002,3004,34802,283,0,5502,0,1467,0
93652,2012,8887,7337,0,594,0,0,0,3024,84,0,299,0,732,0
93653,2012,21601,12112,258,450,1094,307,986,13353,85,0,2116,0,694,0
93654,2012,544647,351514,85212,20791,10764,5302,17776,308333,4217,104,44498,836,28543,0
93656,2012,96879,66157,2996,2424,1646,567,3509,50999,874,0,8543,168,5641,0
93657,2012,613837,440320,12133,14992,14646,7317,26044,343047,5166,180,52994,974,32734,0
93660,2012,42307,35025,0,2973,372,110,470,13397,482,0,1334,0,4380,0
93662,2012,446898,331146,2416,14128,8758,4837,14794,215696,4112,47,30336,545,29371,0
93664,2012,37684,17297,1729,158,1729,906,3137,26798,61,0,5493,268,689,0
93667,2012,51100,34961,127,1042,1911,599,2141,31793,317,0,4706,0,1794,0
93668,2012,28624,12040,293,794,697,192,1661,18858,141,0,4032,0,973,0
93669,2012,5169,3189,0,0,295,66,195,2915,27,0,362,0,187,0
93675,2012,58829,39795,165,1244,2529,737,2314,34892,335,0,4813,0,2177,0
93701,2012,67280,54378,-13,2049,497,164,755,20021,530,0,2130,0,9305,0
93702,2012,346678,284754,-30,13602,3448,1060,3816,108732,3231,8,11183,0,43552,0
93703,2012,289855,228600,274,8998,5348,1386,4791,118239,2618,19,13512,0,29919,0
93704,2012,688614,404594,20344,8629,19737,8436,38599,456967,3266,97,84557,2173,23756,0
93705,2012,398802,300532,373,11565,10707,2698,9378,191178,3251,26,24241,88,31940,0
93706,2012,370211,269269,7448,10949,7437,1937,9366,160241,2763,9,23254,383,34169,0
93710,2012,480482,332171,5058,8449,19487,5192,17162,287413,3314,123,41045,359,21268,0
93711,2012,1852335,903493,114214,9847,57421,29362,139944,1362453,7169,544,303066,12030,35184,0
93720,2012,1551174,1105125,16859,13205,35563,26977,100866,1072470,9350,450,201890,6149,38308,0
93721,2012,56314,35975,317,823,814,353,1910,28621,280,0,6228,0,2787,0
93722,2012,1351938,1065276,10823,26391,22760,18364,58166,759829,13066,339,108565,1499,71347,0
93723,2012,229682,154567,2188,2901,5289,4563,13410,144620,1777,102,24517,322,7353,0
93725,2012,318016,227196,2493,10255,5089,2455,10648,154972,2885,30,24041,466,24364,0
93726,2012,464712,351353,2074,11542,11994,3175,10599,229318,3820,31,29597,111,34911,0
93727,2012,1102696,840174,12275,21879,22707,15374,47393,597530,10735,198,86204,1590,68068,0
93728,2012,184601,145345,88,5217,3664,1240,4549,95037,1249,6,12748,76,13283,0
93730,2012,607148,405368,19513,2609,10349,13276,50518,451062,2959,194,102879,5461,10728,0
93901,2012,643907,447233,19194,9460,18685,8828,32084,407854,3902,44,67497,1736,23470,0
93905,2012,811066,727556,257,34685,5496,8903,19616,259186,8901,88,26342,228,74988,0
93906,2012,1037007,868392,1645,27190,17495,16209,43283,547146,10048,125,73900,798,57320,0
93907,2012,542291,400816,2841,8859,15464,10418,30911,334350,3366,63,53864,1043,19320,0
93908,2012,796089,406910,55197,2792,19784,17274,67263,589378,2227,32,126670,7848,13242,0
93920,2012,33064,21517,2840,186,666,312,1016,21182,202,0,3259,0,1010,0
93923,2012,782258,260678,134964,1567,32766,23243,71545,581054,2238,152,128807,9285,8616,0
93924,2012,359390,169801,25651,1362,9940,9325,27700,253274,1903,67,50921,3435,5583,0
93925,2012,36045,26918,255,1459,598,456,1657,17769,346,0,2492,0,2083,0
93926,2012,172181,140202,163,6644,2149,2126,6410,83136,2057,56,10863,152,10602,0
93927,2012,247974,215978,329,8891,2267,2513,6956,96840,2606,25,11615,192,19146,0
93930,2012,284551,218570,1873,6245,4785,2454,8930,137641,2455,57,17514,224,17101,0
93933,2012,460565,369664,2612,6084,11082,5621,16557,281846,3409,28,40487,266,18325,0
93940,2012,1197408,669669,120610,7014,33467,22075,75853,855965,4870,113,164532,7673,24781,0
93950,2012,554062,339086,20352,3757,20417,11764,35400,380617,2233,28,68792,2238,12388,0
93953,2012,487672,141249,107150,767,15258,15946,49368,369048,1961,5,85799,7695,3561,0
93955,2012,594404,486256,2266,7439,11553,7396,21201,325799,4842,18,46370,487,29602,0
93960,2012,292754,242891,726,8824,3195,3666,11946,141746,3425,89,19713,267,18092,0
94002,2012,1781430,1323158,107938,7621,31793,43215,159015,1344195,5581,149,309911,18536,27277,0
94005,2012,271582,216012,6755,1709,3402,5100,21025,204585,863,0,43754,1881,5444,0
94010,2012,6293548,3207471,1167154,9022,58433,124573,655394,4970802,38354,376,1275085,82921,70428,0
94014,2012,1143200,943581,7852,14499,24832,23186,57399,710563,6962,57,109331,1628,42536,0
94015,2012,1781390,1424872,21980,18758,46411,34814,95148,1172279,9486,54,188840,2920,56334,0
94019,2012,889513,611569,84598,3900,18104,22148,76651,650111,4340,64,143199,8344,17504,0
94020,2012,82480,54313,6422,485,1964,1854,6470,60319,336,0,12137,718,1494,0
94021,2012,6534,4402,0,0,0,149,424,4536,15,0,787,0,120,0
94022,2012,5013204,2133232,1663536,3236,45537,99994,522366,4059907,31118,815,994209,75949,45360,0
94024,2012,3903416,2231039,746926,4028,45547,89901,422764,3149500,24056,393,826762,57635,38590,0
94025,2012,6330818,3915230,1237169,7805,46686,101611,644441,5158190,26822,202,1370812,71930,82856,0
94027,2012,4715800,1380324,2305873,669,17813,65062,472154,3885834,21853,95,914063,70793,39302,0
94028,2012,2448460,767396,1057181,808,20454,36229,236337,1993717,9784,159,477060,37632,18361,0
94030,2012,1071030,706721,41015,6221,30418,28648,85328,766105,5665,69,155962,7756,20530,0
94038,2012,145236,99140,5927,1053,2939,4143,12263,104290,395,6,21612,1123,3072,0
94040,2012,2134298,1670305,157015,6634,24813,40010,182973,1658923,7665,169,396232,23339,31278,0
94041,2012,983106,756403,90863,3496,7457,13213,76541,783504,4186,52,181847,8319,14289,0
94043,2012,1705231,1414739,96573,7417,15138,25037,133653,1324395,6402,73,298415,12282,30092,0
94044,2012,1577719,1231011,31021,12724,37621,40713,115501,1100256,6045,98,204995,6447,37490,0
94060,2012,47436,32604,1070,250,1096,992,3314,29264,255,0,5834,388,1654,0
94061,2012,1641430,1170236,132076,8768,29812,33829,119835,1179926,7798,120,242639,12503,32813,0
94062,2012,4863397,1917346,1643650,5745,39065,78731,472027,3903816,14755,386,915234,64764,52108,0
94063,2012,730382,555085,12840,6500,8256,9571,40362,458459,4622,15,81537,1802,28105,0
94065,2012,1397157,786306,173417,3523,11342,25277,130665,1033295,6551,37,235707,12568,15167,0
94066,2012,1557445,1165150,34015,13852,34666,29107,94813,1068574,6824,157,189502,5070,41667,0
94070,2012,2913784,1847719,510326,9130,40632,62742,261479,2260572,8168,308,531470,33437,34483,0
94074,2012,8271,3642,0,0,290,130,556,5712,0,0,1174,0,98,0
94080,2012,2163956,1722964,35177,21091,47753,44838,133455,1443640,20115,89,251098,6440,66150,0
94085,2012,890522,807046,20111,5810,5581,10112,55645,662567,4894,76,135512,3286,22279,0
94086,2012,2269998,1930247,114501,12613,23705,28859,151622,1748272,9747,126,369734,13912,44685,0
94087,2012,3475045,2760874,197258,12626,53409,71079,294040,2675545,13194,452,614541,37312,53148,0
94089,2012,818674,711688,14270,7489,12825,10037,48418,599934,4023,21,115479,2908,19965,0
94102,2012,851491,672504,41730,6741,6311,6990,47876,627351,2401,0,130796,3033,22212,0
94103,2012,1515292,1039074,163716,7169,5278,14781,125346,1185793,6507,10,274381,9206,25335,0
94104,2012,807553,177607,172003,514,2605,6099,63766,671141,5529,0,165479,12020,5703,0
94105,2012,1665163,904602,388778,2226,4115,21846,158471,1365200,12774,0,334440,17490,23425,0
94107,2012,2595050,1770050,496300,7793,12242,35380,213748,2072723,8291,120,478750,22962,36997,0
94108,2012,956279,375849,174840,4162,7071,7055,70698,723831,3044,0,155380,9045,11676,0
94109,2012,3398222,2276161,447300,16070,42916,35079,241861,2674113,15179,10,585062,26211,50606,0
94110,2012,3460178,2579485,362803,21921,22965,45219,260312,2645274,11880,271,569113,21395,68260,0
94111,2012,1754078,263986,899856,1165,8921,13988,168760,1327837,10487,0,279853,30401,11124,0
94112,2012,1974886,1586215,29961,27696,39205,42444,106174,1231580,10870,88,201357,4133,71443,0
94114,2012,4354142,2641575,1061617,10942,26089,53770,402823,3596369,14756,285,857316,38610,53536,0
94115,2012,3774428,1749386,997466,8990,25016,45309,310027,2977990,16459,76,667747,40995,42597,0
94116,2012,1857524,1269576,78690,13775,40248,43901,141120,1333907,6786,84,273247,11059,37769,0
94117,2012,3054647,1964288,579774,11599,18479,35841,233347,2478331,7686,75,553312,25554,41346,0
94118,2012,3794668,1755926,942802,10990,33725,51129,347571,2994719,13584,137,705480,45045,45842,0
94121,2012,2215494,1309456,251552,13414,35847,37400,170475,1673460,7768,30,365757,17451,34226,0
94122,2012,2284629,1689909,78659,18311,43078,42273,147245,1672192,9022,136,327608,11854,48003,0
94123,2012,3728592,2140448,648959,6346,26253,41332,341970,3041069,12835,36,773619,38662,44745,0
94124,2012,629034,505494,6679,11650,10588,11919,29247,352372,4658,47,52616,907,33709,0
94127,2012,1621338,935240,220699,5398,32759,40920,142800,1249984,4969,141,288253,18329,20666,0
94129,2012,526954,200341,213456,857,1314,2320,43991,613788,1822,0,125489,6714,3067,0
94130,2012,33074,29381,-33,581,0,0,647,20396,228,0,3063,0,1697,0
94131,2012,2169772,1540488,177349,8665,31209,40837,186551,1701798,7464,122,396439,19029,32644,0
94132,2012,850776,608299,24838,7415,22320,19051,56867,593400,4008,14,112524,4041,21148,0
94133,2012,1528070,878744,187584,8260,17306,19078,118102,1122554,5601,6,256018,15032,24904,0
94134,2012,929088,750173,8995,15927,17798,20542,47706,557042,5676,23,86935,1421,38491,0
94158,2012,597111,407679,43531,969,1035,5741,46536,509444,3579,0,116586,3475,8083,0
94301,2012,8161709,2206872,2769369,2758,29769,61163,744712,6061823,18302,105,1588176,71776,43752,0
94303,2012,3951495,2062118,564497,9864,33134,54454,382643,2852474,15732,99,679285,44918,60182,0
94304,2012,848809,272636,356315,344,9906,7273,78890,648126,13094,0,145511,15806,4831,0
94305,2012,477338,281323,55954,215,10199,9349,58601,366244,1922,0,91703,7562,5697,0
94306,2012,2783410,1799513,457411,5388,32139,53486,264236,2200276,17756,149,539163,34665,39824,0
94401,2012,1183600,874695,55219,9574,24854,22218,81148,819292,4595,21,162694,5454,32112,0
94402,2012,2316577,1459300,303607,6385,39510,50856,221742,1803636,6253,270,441418,26604,28828,0
94403,2012,2928354,1521765,433377,11427,40257,48388,226773,2184607,8207,127,427992,26806,39540,0
94404,2012,2161899,1641742,135066,9930,41669,45886,177479,1651347,7703,100,361691,19864,33598,0
94501,2012,2207443,1660152,67341,21315,46495,48248,146845,1550114,9368,137,291059,10385,56338,0
94502,2012,770251,533340,31432,4120,19985,25602,70175,559175,2524,25,117049,6491,13480,0
94503,2012,557748,473899,1882,6938,9622,12623,34435,344708,3721,33,54692,1049,19119,0
94505,2012,541258,374748,11575,5280,17492,16211,45192,367186,2368,121,68337,2384,11807,0
94506,2012,2396465,1638546,165946,5401,28811,67564,254446,1815266,7350,211,475899,29803,32278,0
94507,2012,2164896,1112071,349429,2821,33702,51287,229927,1693766,6117,360,439222,29660,24666,0
94508,2012,105910,64872,5631,447,2849,2068,7147,71819,471,0,13424,769,2069,0
94509,2012,1220460,953397,7054,22623,35663,18265,54861,719803,8915,283,104653,806,55236,0
94510,2012,1158546,845744,16582,10249,30916,24048,81572,813708,4607,98,154685,4824,25195,0
94513,2012,1871453,1407032,42015,20123,52426,51473,137339,1220218,11180,534,209421,5896,48358,0
94514,2012,31053,21943,22,478,784,637,1873,18814,219,0,3234,0,1112,0
94515,2012,253222,127427,14311,2012,7658,4764,18027,168893,1404,17,35295,1858,5955,0
94517,2012,681877,470810,13568,4043,20120,19045,57419,486562,2270,275,101057,3912,11735,0
94518,2012,893334,655980,19750,8894,26645,18133,57419,607307,3863,167,107636,2681,22592,0
94519,2012,520959,398151,4778,7191,14921,9784,28724,339612,2849,42,53338,576,15639,0
94520,2012,668492,537064,9570,10843,11270,7222,25766,376394,4429,46,56422,978,30515,0
94521,2012,1462575,1107674,16716,15509,43731,31278,97453,992376,6642,295,173731,4271,35425,0
94523,2012,1400932,1031113,37317,11164,34487,30951,98787,992156,5422,370,185868,5860,28746,0
94525,2012,102511,72987,433,1314,3518,1849,5729,70075,349,0,11525,145,2755,0
94526,2012,2597307,1641167,202918,9302,55970,66210,247531,1953117,8536,647,466886,28783,34624,0
94530,2012,1026951,682515,37962,6714,30749,24708,71720,733369,4288,166,137547,5298,21158,0
94531,2012,1115801,935073,4702,17002,20840,30148,75512,693757,8028,275,108850,1767,39999,0
94533,2012,1452540,1110885,10617,23793,40242,19854,63051,858895,10518,303,127278,1395,64311,0
94534,2012,1484931,1080609,47896,12444,36284,35131,106850,1021938,6938,141,189286,6816,35089,0
94535,2012,80763,77507,39,609,315,330,828,41267,1216,0,4616,0,7246,0
94536,2012,2582955,2121604,58647,22306,42398,54569,180546,1823799,12436,225,347782,11905,61914,0
94538,2012,1956867,1704337,18163,23342,22651,32466,110577,1351895,11178,144,235145,4830,58277,0
94539,2012,3470910,2611398,202605,14262,35675,99739,339299,2633743,15270,362,618626,42558,52641,0
94541,2012,1298133,1079312,7329,21639,23670,21192,60058,770976,9402,92,114556,1260,58842,0
94542,2012,514015,376539,14119,4093,11389,13202,40766,361281,1773,68,73480,2942,11012,0
94544,2012,1476985,1238820,4585,27482,26554,23790,64467,844491,12023,121,122216,1261,73335,0
94545,2012,799529,658705,5025,13353,15510,16663,44714,490850,5813,32,76982,1323,30491,0
94546,2012,1470874,1078003,32398,16187,40294,35126,98619,992385,7622,196,170518,4089,39087,0
94547,2012,854333,674807,5312,9138,20067,25724,62440,562681,4318,131,94521,1840,23987,0
94549,2012,2865207,1505925,334673,6163,52018,67197,294624,2199548,10384,414,555054,38293,33736,0
94550,2012,2327579,1654232,76785,13231,50118,65210,196977,1648227,8805,727,340376,16432,46302,0
94551,2012,1418236,1157609,22241,13334,24165,36096,103040,952027,6450,335,169026,4352,38338,0
94552,2012,801690,590463,15968,4817,15822,24559,72546,577886,2814,144,120819,6032,14514,0
94553,2012,1703076,1237722,29506,18120,47983,37637,117319,1171227,7188,272,210082,5497,40224,0
94555,2012,1485373,1287325,45461,11269,15926,31922,114081,1084144,7053,84,217417,8850,31212,0
94556,2012,1241132,746656,99164,3174,32779,32203,119672,940064,3862,126,228326,16318,14994,0
94558,2012,2409132,1493428,152405,20268,72024,55004,168326,1625679,10977,536,311915,14015,58776,0
94559,2012,779751,540304,33212,8639,19757,14790,46852,501673,3967,128,87663,3586,23898,0
94560,2012,1285007,1064205,15862,17861,25089,29431,81305,833858,7875,114,139872,3411,41256,0
94561,2012,963818,799172,5371,16526,18993,26271,63550,586565,7735,292,87671,1324,34311,0
94563,2012,2378936,1232350,339730,3608,39975,53986,237848,1870402,9634,283,479229,31104,23923,0
94564,2012,578159,423953,6296,7560,20336,13684,35441,378680,3010,40,60788,911,17059,0
94565,2012,1687146,1399488,2997,30737,34061,27787,77242,961473,13547,214,136460,1126,79080,0
94566,2012,3160191,2299872,201417,10950,44032,78379,298340,2397076,11418,622,583051,31987,48760,0
94567,2012,17745,9975,917,275,528,463,1223,11368,74,0,1886,0,453,0
94568,2012,2326705,1982047,52143,15140,24893,62434,191659,1675526,8691,319,339763,15258,48007,0
94571,2012,246411,128339,3232,3442,20208,4760,13147,158669,850,29,25247,304,6189,0
94572,2012,209658,162342,1590,2982,6390,4367,11692,130630,1273,11,20116,199,7850,0
94574,2012,637647,211948,78996,1723,13585,10568,63255,468565,2429,57,115044,5046,8493,0
94576,2012,6771,4763,0,0,378,166,422,4348,0,0,702,0,145,0
94577,2012,1338597,979474,21172,16413,33244,27929,75369,863104,7234,146,147594,3550,43391,0
94578,2012,796024,647269,9077,13850,15420,13085,34510,476738,5917,38,69902,734,35302,0
94579,2012,538636,424575,3532,8050,14402,12212,29806,336900,3358,33,51411,689,19003,0
94580,2012,676553,547012,3617,11412,16621,14386,36472,413173,5062,60,59503,448,25730,0
94582,2012,2403034,2010501,78783,10950,18134,90256,249060,1734030,8455,187,395836,29154,41751,0
94583,2012,3684263,3297757,71904,11826,34396,63631,210328,2989511,246573,510,531162,17894,55359,0
94585,2012,661894,541186,683,11537,14172,11040,31813,401809,5179,56,58246,380,26495,0
94586,2012,73292,38706,4376,480,1752,1883,6417,54258,245,0,12247,554,854,0
94587,2012,2285986,1870649,54765,28522,37678,56334,159773,1535003,12017,150,289851,8740,70673,0
94588,2012,1840999,1398515,91572,9450,29095,44779,155074,1355758,7784,323,292895,15278,32370,0
94589,2012,556698,438108,993,9982,16721,6150,19606,316722,4377,27,43354,209,26752,0
94590,2012,632989,492814,3728,13000,15639,5854,22742,368952,4022,45,53637,490,30935,0
94591,2012,1554977,1213730,7578,20130,43718,29638,89285,999130,8332,150,161937,2502,51118,0
94592,2012,29055,24280,-73,228,488,1096,2680,19583,118,0,3734,132,763,0
94595,2012,950820,390140,64693,4168,67025,24667,72467,689724,1967,146,137634,6673,12472,0
94596,2012,2335685,1160941,175384,6103,27067,31219,190700,1819242,3860,177,381321,14133,28716,0
94597,2012,1023046,764413,38201,6960,20766,20898,73584,746986,3449,138,148867,6285,20621,0
94598,2012,1778562,1140421,84220,7637,51741,40942,151740,1336203,7897,367,295683,16108,26811,0
94599,2012,162650,72939,12620,940,4743,2503,13086,118904,788,0,27428,954,2395,0
94601,2012,658667,548523,1742,12886,8034,8841,21374,331375,5357,12,45538,303,42536,0
94602,2012,1083609,801980,38855,9679,21095,29069,83210,763276,4616,98,147788,5937,25924,0
94603,2012,441160,369739,-61,8881,6623,6984,15883,205911,4613,15,25596,258,32006,0
94605,2012,1014346,764972,10396,14485,27136,28715,70043,631072,4964,105,106950,2459,39933,0
94606,2012,633682,525124,2867,11874,6814,6161,20375,387060,3680,8,60758,617,29626,0
94607,2012,572446,439113,15427,7585,5615,8431,31165,386585,2183,0,69730,1812,21260,0
94608,2012,853272,689158,15841,9433,10353,13628,50648,600000,3593,25,110599,2397,25281,0
94609,2012,598663,481454,13117,7272,6657,10269,31066,416933,2268,26,72739,1483,16969,0
94610,2012,1817349,1182752,100385,11562,27392,35133,136187,1394309,5154,83,298039,14719,27985,0
94611,2012,3246351,1858962,322106,11673,52948,89499,323261,2456786,9508,273,589139,41316,46776,0
94612,2012,404846,315057,9941,4237,5326,4080,20428,285187,1310,0,53578,1192,11470,0
94618,2012,1368836,862120,94939,3890,24676,36096,129645,1056402,5120,155,253306,16170,17097,0
94619,2012,903647,628706,28507,8706,19683,24714,70958,621643,3909,69,123041,4864,23687,0
94621,2012,339578,281014,310,7166,3870,4028,9197,144773,3585,8,17157,242,29248,0
94702,2012,517087,393449,13326,4936,9752,12851,34283,355379,2340,82,61217,1429,13814,0
94703,2012,612062,444849,26083,5020,11577,13253,38402,431174,2543,71,77892,2568,14888,0
94704,2012,289536,200033,25175,2123,4449,4268,16876,208779,1238,4,39445,1518,6315,0
94705,2012,1290544,630439,223901,2606,21441,29309,123041,1015057,3887,138,245523,15227,15451,0
94706,2012,714062,525535,19982,4416,14150,20912,53828,502947,3375,71,93999,3814,14977,0
94707,2012,1478600,525628,195148,2376,30578,31067,147271,1118952,3773,150,240875,18739,14042,0
94708,2012,983251,514934,78036,2293,29769,28258,98426,747896,4029,155,174586,10915,13742,0
94709,2012,362597,235016,31678,1795,7699,6732,23990,269134,1301,0,53018,2216,7189,0
94710,2012,227513,153817,9897,1886,2960,4797,16258,154992,1050,5,29802,1473,6770,0
94801,2012,482540,361069,7995,7006,9095,9064,25685,266506,3625,34,44377,1550,25944,0
94803,2012,718148,518866,8508,8063,24194,18677,47048,467255,3803,99,76898,1390,21207,0
94804,2012,796787,629226,11102,10948,17270,14285,38732,479540,5510,64,74018,1093,35521,0
94805,2012,353785,262501,4271,4755,9741,7629,19428,224858,1982,35,35374,519,11804,0
94806,2012,1099949,903518,2934,18316,21627,19207,50440,624202,9167,82,87048,873,52844,0
94901,2012,2431099,1262096,250171,8832,47349,51834,217327,1813306,11761,224,428784,26062,36535,0
94903,2012,1501902,910129,96520,7315,49542,40410,126182,1073940,5474,153,227130,12263,26543,0
94904,2012,1539180,651814,297107,2973,25835,34631,151954,1196799,7189,170,298355,21279,15601,0
94920,2012,2623529,973414,775091,2672,31964,54412,267468,2133771,8468,207,543703,35874,29083,0
94922,2012,13234,5796,1478,168,383,208,742,9134,43,0,2189,0,218,0
94923,2012,58346,27513,2995,279,3371,2082,4817,40301,172,0,7885,399,1162,0
94924,2012,43825,18807,4391,193,1657,1478,3371,30112,114,0,5763,296,723,0
94925,2012,720179,449870,35394,2116,12319,18227,71139,547429,2329,38,134366,8935,9007,0
94928,2012,968098,731833,7615,14160,23583,16053,46273,615539,6044,97,94265,812,31044,0
94930,2012,438665,244582,19899,2340,8906,12873,34063,325631,1287,41,64618,2608,6582,0
94931,2012,250023,185058,2167,3244,6142,5281,14634,163569,1289,16,26687,490,7269,0
94937,2012,50358,14401,3636,269,2429,1229,4614,35570,108,0,7598,558,494,0
94939,2012,715982,373987,86298,1666,11746,16576,72808,550011,1715,21,133309,8812,14818,0
94941,2012,3312347,1628014,582382,7572,49649,78775,328926,2578262,9514,214,642328,43913,36170,0
94945,2012,820548,502108,49097,4624,24448,23220,68185,582046,2996,76,120418,5577,15316,0
94946,2012,87868,25724,18016,0,984,1601,7970,70732,199,0,16985,891,492,0
94947,2012,1017673,655441,39500,6495,30268,28733,81971,710870,3671,98,141495,5910,21022,0
94949,2012,808371,519878,40479,4809,23678,25948,70068,568371,2936,42,119164,6472,15627,0
94951,2012,172368,100906,6951,1561,5330,4824,13311,119063,588,38,22445,893,3491,0
94952,2012,1214772,762171,77502,9177,31769,25582,83919,847305,5055,249,163169,6298,25882,0
94954,2012,1203613,882056,17842,11830,33655,26269,77437,797733,6664,115,138693,3537,30629,0
94956,2012,63991,28008,6802,350,2439,1472,4770,43239,238,0,8001,328,1094,0
94960,2012,1093151,583544,129053,3518,19467,32348,101906,800130,4159,95,179932,13281,13435,0
94965,2012,886238,450362,134952,3612,18904,18837,80849,687524,3656,34,153171,9636,12337,0
95003,2012,1165722,713186,85689,6176,31572,30298,100226,841595,3703,157,182600,8374,19498,0
95004,2012,120174,84912,1042,1920,3667,2682,7759,77621,571,7,13493,315,3133,0
95005,2012,214825,155174,4140,2187,4849,5136,15115,145000,944,16,25879,967,4735,0
95006,2012,344998,259004,5582,3358,7616,7740,26522,239512,1144,30,46360,1286,7024,0
95008,2012,2139867,1720795,83325,14498,29028,47339,167746,1567087,10287,179,326280,14669,42068,0
95010,2012,360181,226770,16679,3315,9064,7297,22487,249601,1309,8,46134,1458,7972,0
95012,2012,171978,140120,582,6837,2789,1938,5225,77625,1707,14,9785,263,11623,0
95014,2012,4587428,3380511,506451,12335,52811,109601,426442,3570619,25253,401,841311,58099,56542,0
95017,2012,24449,14406,3233,244,548,502,1314,15729,89,0,2675,0,572,0
95018,2012,261463,186663,8261,2536,6045,6260,18210,177423,950,14,31959,848,6010,0
95019,2012,139208,101692,1136,5460,2074,2101,5690,65954,1343,0,8980,237,8480,0
95020,2012,1751734,1295903,61523,18094,34704,43260,125445,1127662,9577,434,211106,8197,53695,0
95023,2012,1184255,911267,14472,21737,27467,24983,72719,718244,8401,194,117955,2704,44368,0
95030,2012,2528233,1409753,505372,2466,25321,52558,274504,2035799,13602,233,542331,33515,34990,0
95032,2012,3437105,1655433,265289,7149,37762,63531,317122,2727778,14396,293,616832,47973,31460,0
95033,2012,713766,470058,45457,2591,10582,16057,67639,547744,2258,114,135438,7340,9125,0
95035,2012,2445590,2078340,58225,27117,28210,53036,175736,1704881,13092,194,324587,11574,64878,0
95037,2012,2105437,1551527,109559,14624,38426,53425,171103,1491298,8330,489,314067,15387,45496,0
95039,2012,35197,26590,259,950,1003,369,1416,20548,215,0,3342,0,1514,0
95043,2012,17797,9748,1514,135,554,204,755,12131,62,0,1767,0,399,0
95045,2012,115643,83217,2520,1848,3253,2546,7455,73157,513,0,12852,447,3635,0
95046,2012,254792,161644,9778,2549,5823,7408,21333,168684,1164,14,35493,2066,6493,0
95050,2012,1375163,1141294,37159,11556,19322,21240,88694,993954,5742,51,194879,6070,34353,0
95051,2012,2444053,2031408,84628,16148,36112,40286,167702,1810623,9196,124,364252,13692,51419,0
95054,2012,1507634,1374308,30562,6353,6943,20629,106955,1188638,27249,15,251022,10694,34802,0
95060,2012,1597494,986189,110382,9487,35462,33637,120282,1122172,6127,239,231192,10648,30913,0
95062,2012,1060534,743753,44168,9848,21619,23131,68231,717942,5034,173,130554,4779,26392,0
95064,2012,30453,25528,174,0,197,592,1784,21132,164,0,3618,0,971,0
95065,2012,320891,208026,18159,1935,9329,8173,24629,224452,1186,35,44073,2131,6737,0
95066,2012,698444,500422,25436,3682,15166,17418,58239,499225,3046,123,105471,5368,13393,0
